Conceptual DFT Results

File:	N-Me-2-piridazone.out

E Neutral (au)	E Anion (au)	E Cation (au)	IP (eV)	EA (eV)	Softness (eV)	Electrophilicity (eV)
-378.86967	-378.84666	-378.56171	8.3800	0.6262	0.1290	2.6153

Natural Charges Based Fukui and Related Parameters

Atom	Element	q Neutral	 q Anion	q Cation	f+	f-	f·	S+	S-	S·	w+	w-	w·
1	C	-0.10596	-0.09924	0.08400	-0.00672	0.18996	0.18324	-0.00087	0.02450	0.02363	-0.01757	0.49679	0.47922
2	C	0.58837	0.57115	0.57130	0.01722	-0.01707	0.00015	0.00222	-0.00220	0.00002	0.04503	-0.04464	0.00039
3	O	-0.61808	-0.73163	-0.37210	0.11355	0.24598	0.35953	0.01464	0.03172	0.04637	0.29696	0.64330	0.94026
4	C	-0.00471	-0.17864	0.07175	0.17393	0.07646	0.25039	0.02243	0.00986	0.03229	0.45487	0.19996	0.65483
5	H	0.24024	0.18305	0.29010	0.05719	0.04986	0.10705	0.00738	0.00643	0.01381	0.14957	0.13040	0.27996
6	N	-0.40357	-0.47093	-0.30316	0.06736	0.10041	0.16777	0.00869	0.01295	0.02164	0.17616	0.26260	0.43876
7	C	-0.47997	-0.45986	-0.50191	-0.02011	-0.02194	-0.04205	-0.00259	-0.00283	-0.00542	-0.05259	-0.05738	-0.10997
8	H	0.25596	0.21532	0.29526	0.04064	0.03930	0.07994	0.00524	0.00507	0.01031	0.10628	0.10278	0.20906
9	H	0.25596	0.21532	0.29526	0.04064	0.03930	0.07994	0.00524	0.00507	0.01031	0.10628	0.10278	0.20906
10	H	0.23277	0.20178	0.26799	0.03099	0.03522	0.06621	0.00400	0.00454	0.00854	0.08105	0.09211	0.17316
11	H	0.23905	0.18173	0.29003	0.05732	0.05098	0.10830	0.00739	0.00657	0.01397	0.14991	0.13333	0.28323
12	N	-0.40628	-0.57484	-0.37543	0.16856	0.03085	0.19941	0.02174	0.00398	0.02572	0.44083	0.08068	0.52151
13	C	-0.03041	-0.22939	0.10162	0.19898	0.13203	0.33101	0.02566	0.01703	0.04269	0.52038	0.34529	0.86567
14	H	0.23664	0.17618	0.28527	0.06046	0.04863	0.10909	0.00780	0.00627	0.01407	0.15812	0.12718	0.28530

Hirshfeld Based Fukui and Related Parameters

Atom	Element	q Neutral	 q Anion	q Cation	f+	f-	f·	S+	S-	S·	w+	w-	w·
1	C	-0.014162	-0.075525	0.127484	0.061363	0.141646	0.203009	0.007914	0.018268	0.026182	0.160480	0.370440	0.530920
2	C	0.164275	0.105304	0.216368	0.058971	0.052093	0.111064	0.007605	0.006718	0.014324	0.154224	0.136236	0.290460
3	O	-0.322772	-0.425152	-0.131631	0.102380	0.191141	0.293521	0.013204	0.024651	0.037855	0.267750	0.499882	0.767632
4	C	0.024044	-0.095048	0.118692	0.119092	0.094648	0.213740	0.015359	0.012207	0.027566	0.311456	0.247528	0.558984
5	H	0.066736	0.007950	0.113305	0.058786	0.046569	0.105355	0.007582	0.006006	0.013588	0.153740	0.121790	0.275530
6	N	-0.040612	-0.105394	0.032705	0.064782	0.073317	0.138099	0.008355	0.009456	0.017811	0.169421	0.191743	0.361164
7	C	-0.020804	-0.049232	0.007523	0.028428	0.028327	0.056755	0.003666	0.003653	0.007320	0.074346	0.074082	0.148429
8	H	0.058982	0.026506	0.090758	0.032476	0.031776	0.064252	0.004188	0.004098	0.008287	0.084933	0.083102	0.168035
9	H	0.058982	0.026505	0.090759	0.032477	0.031777	0.064254	0.004189	0.004098	0.008287	0.084936	0.083105	0.168040
10	H	0.052547	0.024997	0.081791	0.027550	0.029244	0.056794	0.003553	0.003772	0.007325	0.072050	0.076480	0.148531
11	H	0.056680	0.009227	0.114075	0.047453	0.057395	0.104848	0.006120	0.007402	0.013522	0.124102	0.150102	0.274204
12	N	-0.178934	-0.327457	-0.106425	0.148523	0.072509	0.221032	0.019155	0.009351	0.028507	0.388425	0.189629	0.578055
13	C	0.033291	-0.117815	0.133984	0.151106	0.100693	0.251799	0.019488	0.012986	0.032475	0.395180	0.263338	0.658518
14	H	0.061848	-0.004760	0.110716	0.066608	0.048868	0.115476	0.008590	0.006303	0.014893	0.174197	0.127802	0.301999

Electrostatic Potential () Based Fukui and Related Parameters

Atom	Element	q Neutral	 q Anion	q Cation	f+	f-	f·	S+	S-	S·	w+	w-	w·
1	C	0.309130	0.306330	0.476737	0.002800	0.167607	0.170407	0.000361	0.021616	0.021977	0.007323	0.438335	0.445657
2	C	0.180123	0.096583	0.221727	0.083540	0.041604	0.125144	0.010774	0.005366	0.016140	0.218478	0.108805	0.327283
3	O	-0.477569	-0.583702	-0.259693	0.106133	0.217876	0.324009	0.013688	0.028099	0.041787	0.277565	0.569801	0.847366
4	C	-0.516533	-0.711348	-0.341424	0.194815	0.175109	0.369924	0.025125	0.022584	0.047709	0.509491	0.457954	0.967445
5	H	0.217520	0.158031	0.242274	0.059489	0.024754	0.084243	0.007672	0.003193	0.010865	0.155579	0.064738	0.220317
6	N	0.421363	0.487394	0.407442	-0.066031	-0.013921	-0.079952	-0.008516	-0.001795	-0.010311	-0.172688	-0.036407	-0.209095
7	C	-0.435671	-0.444863	-0.511570	0.009192	-0.075899	-0.066707	0.001185	-0.009789	-0.008603	0.024039	-0.198495	-0.174456
8	H	0.157423	0.109084	0.225762	0.048339	0.068339	0.116678	0.006234	0.008814	0.015048	0.126419	0.178724	0.305142
9	H	0.157526	0.109095	0.225929	0.048431	0.068403	0.116834	0.006246	0.008822	0.015068	0.126659	0.178891	0.305550
10	H	0.145809	0.103612	0.210584	0.042197	0.064775	0.106972	0.005442	0.008354	0.013796	0.110356	0.169403	0.279759
11	H	0.054650	-0.010360	0.104098	0.065010	0.049448	0.114458	0.008384	0.006377	0.014762	0.170018	0.129319	0.299337
12	N	-0.534737	-0.698387	-0.481946	0.163650	0.052791	0.216441	0.021106	0.006808	0.027914	0.427986	0.138062	0.566048
13	C	0.270943	0.083399	0.376845	0.187544	0.105902	0.293446	0.024188	0.013658	0.037846	0.490475	0.276961	0.767436
14	H	0.050023	-0.004868	0.103235	0.054891	0.053212	0.108103	0.007079	0.006863	0.013942	0.143554	0.139163	0.282717

