Conceptual DFT Results

File:	Pyridine.out

E Neutral (au)	E Anion (au)	E Cation (au)	IP (eV)	EA (eV)	Softness (eV)	Electrophilicity (eV)
-402.89685	-402.86618	-402.57314	8.8087	0.8347	0.1254	1.4578

Natural Charges Based Fukui and Related Parameters

Atom	Element	q Neutral	 q Anion	q Cation	f+	f-	f·	S+	S-	S·	w+	w-	w·
1	C	0.13003	-0.04933	0.15796	-0.17936	-0.02793	-0.20729	-0.02249	-0.00350	-0.02600	-0.26147	-0.04072	-0.30219
2	N	-0.47511	-0.53464	-0.29184	-0.05953	-0.18327	-0.24280	-0.00747	-0.02298	-0.03045	-0.08678	-0.26717	-0.35396
3	C	-0.31934	-0.47089	-0.24057	-0.15155	-0.07877	-0.23032	-0.01901	-0.00988	-0.02888	-0.22093	-0.11483	-0.33576
4	C	0.31994	0.28866	0.45633	-0.03128	-0.13639	-0.16767	-0.00392	-0.01710	-0.02103	-0.04560	-0.19883	-0.24443
5	C	-0.03726	-0.10968	-0.03494	-0.07242	-0.00232	-0.07474	-0.00908	-0.00029	-0.00937	-0.10557	-0.00338	-0.10896
6	C	0.01287	-0.00851	0.03890	-0.02138	-0.02603	-0.04741	-0.00268	-0.00326	-0.00595	-0.03117	-0.03795	-0.06911
10	N	-0.84445	-1.08601	-0.58532	-0.24156	-0.25913	-0.50069	-0.03029	-0.03250	-0.06279	-0.35215	-0.37776	-0.72991

Hirshfeld Based Fukui and Related Parameters

Atom	Element	q Neutral	 q Anion	q Cation	f+	f-	f·	S+	S-	S·	w+	w-	w·
1	C	0.053616	-0.022858	0.000000	-0.076474	-0.068918	-0.145392	-0.009590	-0.008643	-0.018233	-0.111485	-0.100469	-0.211954
2	N	-0.212102	-0.262631	0.000000	-0.050529	-0.129269	-0.179798	-0.006337	-0.016211	-0.022548	-0.073662	-0.188450	-0.262112
3	C	-0.071930	-0.150462	0.000000	-0.078532	-0.071682	-0.150214	-0.009848	-0.008989	-0.018838	-0.114485	-0.104499	-0.218984
4	C	0.051422	-0.005204	0.000000	-0.056626	-0.097707	-0.154333	-0.007101	-0.012253	-0.019355	-0.082550	-0.142438	-0.224988
5	C	0.013722	-0.052163	0.000000	-0.065885	-0.060145	-0.126030	-0.008262	-0.007543	-0.015805	-0.096048	-0.087680	-0.183728
6	C	0.018936	-0.028703	0.000000	-0.047639	-0.068304	-0.115943	-0.005974	-0.008566	-0.014540	-0.069449	-0.099574	-0.169023
10	N	-0.184290	-0.221587	0.000000	-0.037297	-0.178270	-0.215567	-0.004677	-0.022356	-0.027034	-0.054372	-0.259884	-0.314256

Electrostatic Potential () Based Fukui and Related Parameters

Atom	Element	q Neutral	 q Anion	q Cation	f+	f-	f·	S+	S-	S·	w+	w-	w·
1	C	0.560531	0.044759	0.489999	-0.515772	0.070532	-0.445240	-0.064682	0.008845	-0.055836	-0.751898	0.102822	-0.649076
2	N	-0.654960	-0.773041	-0.466062	-0.118081	-0.188898	-0.306979	-0.014808	-0.023689	-0.038497	-0.172140	-0.275378	-0.447518
3	C	-0.641014	-0.446201	-0.542102	0.194813	-0.098912	0.095901	0.024431	-0.012404	0.012027	0.284001	-0.144195	0.139806
4	C	-0.052251	0.213029	0.045239	0.265280	-0.097490	0.167790	0.033268	-0.012226	0.021042	0.386728	-0.142122	0.244606
5	C	0.303230	0.216854	0.344057	-0.086376	-0.040827	-0.127203	-0.010832	-0.005120	-0.015952	-0.125920	-0.059518	-0.185438
6	C	0.418286	0.471375	0.476151	0.053089	-0.057865	-0.004776	0.006658	-0.007257	-0.000599	0.077394	-0.084356	-0.006963
10	N	-0.828011	-0.240753	-0.413893	0.587258	-0.414118	0.173140	0.073646	-0.051933	0.021713	0.856112	-0.603706	0.252406

